Syringe Pump Speed/AU,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Settings],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detection Threshold,3,3,3,4,4,4,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,,
Max Jump Distance,14.2286,14.2286,14.2286,14.0698,14.3572,13.7805,12,12,12,11.1704,11.0091,14.8653,14.2286,14.2286,14.2286,12.171,12.44,11.4178,13.3892,13.3238,13.4238,11.7745,11.1247,12.3826,15.1607,14.8285,14.9646,13.9544,13.9718,13.8638,14.9872,14.7485,14.8094,14.2286,14.2286,14.2286,,
Blur,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,,
Min Track Length,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,Auto,,
First frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Total frames analysed,749,749,749,749,749,749,0,0,0,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,749,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Exclusion Regions],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Exclusion Regions Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Results],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,Standard Error
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,
Concentration (Particles / ml),953000,0,0,258000000,230000000,227000000,0,0,0,78000000,58500000,75300000,0,0,2080000,107000000,106000000,75100000,346000000,317000000,331000000,301000000,266000000,241000000,233000000,213000000,211000000,363000000,313000000,263000000,305000000,296000000,278000000,0,0,0,153000000,22300000
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
Particles per frame,0.2,0,0,41,38.1,37.3,0,0,0,13.9,10.4,13.4,0,0,0.1,19.2,18.9,13.4,57.5,51.8,55,27.3,25.5,22.2,34.1,31.5,30.2,34.4,29.2,24.9,47.2,45.7,40.5,0,0,0,21.2,3.1
Centres per frame,1.1,0.9,0.9,41.4,38.4,37.6,0,0,0,16.6,11.7,16.4,0,0,0.1,21.7,22.2,14.6,55.5,50,53,27.5,25.8,22.4,33.3,30.9,29.5,34,29,24.9,45,43.6,39.3,0,0,0,21.3,3
Completed tracks,15,3,0,3202,2791,2815,0,0,0,1052,622,949,8,0,19,944,944,573,2812,2484,2635,1607,1480,1206,1712,1602,1413,2161,1692,1477,2342,2265,2223,0,0,0,,
X-Drift (pix/frame),-4,0,0,-3.6,-3.4,-3.4,0,0,0,-4.5,-5,-4.6,0,0,-4.7,-3.9,-3.9,-3.9,-3.7,-3.8,-3.8,-3.6,-3.5,-3.4,-4,-3.8,-3.8,-3.5,-3.6,-3.6,-3.9,-3.8,-4,0,0,0,,
Y-Drift (pix/frame),-0.3,0,0,0,0,0,0,0,0,-0.1,0,-0.1,0,0,-2.4,-0.1,0,0,1,0.9,0.9,0.9,0.8,0.8,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Concentration Warnings],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Validity of concentration measurement,Unreliable,Unreliable,Unreliable,OK,OK,OK,Unreliable,Unreliable,Unreliable,OK,OK,Be cautious of data due to noise,Unreliable,Unreliable,Unreliable,OK,Unreliable,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Unreliable,Unreliable,Unreliable,,
Completed Tracks,OK,OK,No Data,OK,OK,OK,No Data,No Data,No Data,OK,OK,OK,OK,No Data,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,No Data,No Data,No Data,,
Particles per frame,Too Low,Too Low,Too Low,OK,OK,OK,Too Low,Too Low,Too Low,OK,OK,OK,Too Low,Too Low,Too Low,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Too Low,Too Low,Too Low,,
Noise level,High noise,High noise,High noise,No,No,No,No,No,No,No,No,Noise detected,High noise,No,High noise,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,
Brightness,OK,Too dim,Too dim,OK,OK,OK,Too dim,Too dim,Too dim,OK,OK,OK,Too dim,Too dim,OK,OK,Too bright,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Too dim,Too dim,Too dim,,
Detection Threshold,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Information],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completed Tracks,<100,<100,<100,OK,OK,OK,<100,<100,<100,OK,OK,OK,<100,<100,<100,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,<100,<100,<100,,
Concentration,Very low concentration,Very low concentration,Very low concentration,OK,OK,OK,Very low concentration,Very low concentration,Very low concentration,OK,OK,OK,Very low concentration,Very low concentration,Very low concentration,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,Very low concentration,Very low concentration,Very low concentration,,
Video length,OK,OK,OK,OK,OK,OK,Short video,Short video,Short video,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,
Noise level,High noise,High noise,High noise,No,No,No,No,No,No,No,No,Noise detected,High noise,No,High noise,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,
Vibration detected,No,No,No,Moderate vibration,Moderate vibration,Moderate vibration,No,No,No,Moderate vibration,Moderate vibration,Moderate vibration,No,No,No,No,Minor vibration,Minor vibration,No,No,No,No,No,Minor vibration,No,No,No,No,No,No,No,No,No,No,No,No,,
Vibration correction applied,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,
Settings changed?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,
Errors (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Errors (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Data Included],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size distribution - Number weighting - With Percentiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Size Data],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Method,FTLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weighting,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,mG15.5_yes_500_00,mG15.5_yes_500_01,mG15.5_yes_500_02,mG15.5_no_500_00,mG15.5_no_500_01,mG15.5_no_500_02,400_yes_50_00,400_yes_50_01,400_yes_50_02,400_no_50_00,400_no_50_01,400_no_50_02,200_yes_125_00,200_yes_125_01,200_yes_125_02,200_no_125_00,200_no_125_01,200_no_125_02,fluorx100_no_125_00,fluorx100_no_125_01,fluorx100_no_125_02,fluorx100_yes_125_00,fluorx100_yes_125_01,fluorx100_yes_125_02,fluor_no_125_00,fluor_no_125_01,fluor_no_125_02,fluor_yes_125_00,fluor_yes_125_01,fluor_yes_125_02,100_no_125_00,100_no_125_01,100_no_125_02,100_yes_125_00,100_yes_125_01,100_yes_125_02,Average,Standard Error
Mean,106.4,0,0,112.2,107.2,118.6,0,0,0,293.1,305.9,281.8,0,0,0,185.7,187.3,186.1,135,131.4,134,145.7,157.4,142.9,104,104.1,103.4,104.8,105.3,109,104.1,103.7,102.2,0,0,0,102,14.3
Mode,106.4,0,0,81.4,113.5,93.5,0,0,0,300.7,178,191.1,0,0,0,184.9,187.2,195.3,106.6,101.2,104.4,148,152.5,138.9,101.8,101.3,99.9,101.3,101.2,107.1,98.8,99.7,97.9,0,0,0,91.5,12.4
SD,3.2,0,0,42.6,34.6,43.8,0,0,0,73.2,78.3,78.7,0,0,0,21.4,28.3,17.9,42,39.2,39.2,43.7,42.1,30.5,9.2,12.4,11.4,11.8,14.1,28.3,17.5,12.9,13.4,0,0,0,21.9,3.8
D10,101.3,0,0,74.9,69.7,77,0,0,0,201,180.3,185.7,0,0,0,160.2,169.2,157.1,96.3,97.4,93.3,98,105.9,104,91.8,92.4,93.3,90.1,90.5,94.2,89.8,91.9,87.5,0,0,0,77.6,10.2
D50,105.4,0,0,96.4,104.8,99.7,0,0,0,302.6,316.3,290.4,0,0,0,184.6,184.9,188.7,115.9,109.8,122.1,138.6,150.6,139.6,102.4,101.3,100,102.4,102.2,105.1,99.8,100,99.1,0,0,0,99,14.4
D90,109.6,0,0,163.4,159.6,176.2,0,0,0,380.4,400.6,370.5,0,0,0,210.7,196,205.5,204.3,187.3,195.4,208.1,219.7,182.4,115.2,113.9,111.6,119.6,119.4,113.8,116.3,112.9,115.6,0,0,0,128,18.5
Valid Tracks,2,0,0,1152,1058,1030,0,0,0,188,153,180,0,0,0,326,280,206,1263,1107,1251,657,590,520,796,777,690,973,755,661,1157,1106,1044,0,0,0,,
Graph Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
